Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,19.7
100,0,0,0,0,0,19.62
150,0,0,0,0,0,19.96
200,0.04,0,0,0,0.04,20.22
250,0,0,0,0,0,19.46
300,0.04,0,0,0,0.04,20.72
350,0.04,0.02,0,0,0.08,22.8
400,0.08,0,0,0,0.08,23.48
450,0.2,0,0,0,0.2,25.72
500,0.1,0,0,0,0.1,23.88
550,0.3,0.02,0,0,0.33999999999999997,29.42
600,0.28,0,0,0,0.28,28.44
650,0.32,0.02,0,0,0.36,29.72
700,0.66,0.04,0,0,0.74,36.84
750,0.98,0.1,0,0,1.18,43.56
800,0.82,0.02,0,0,0.86,37.32
850,1.28,0.02,0,0,1.32,44.38
900,1.2,0.14,0.04,0,1.6,52.76
950,2.16,0.08,0,0,2.3200000000000003,59.86
1000,2.26,0.16,0.02,0,2.6399999999999997,65.76
1050,1.88,0.1,0,0,2.08,57.8
1100,3.44,0.2,0.02,0,3.9,82.96
1150,3.3,0.16,0.02,0,3.6799999999999997,81.08
1200,4.3,0.28,0.02,0,4.919999999999999,99.84
1250,6.1,0.5,0.06,0,7.279999999999999,132.2
1300,6.12,0.74,0.08,0.06,8.08,152.1
1350,8.38,0.82,0.18,0.04,10.720000000000002,195.22
1400,5.96,0.98,0.14,0.04,8.5,163.34
1450,10.08,0.96,0.24,0.08,13.040000000000001,236.22
1500,12.66,1.8,0.38,0.18,18.12,328.38
1550,13.14,2.64,0.74,0.16,21.28,407.24
1600,13.96,3.48,0.7,0.28,24.140000000000004,461.62
1650,14.9,3.9,0.78,0.36,26.48,515.8
1700,13.72,4.24,0.96,0.4,26.680000000000003,536.22
1750,12,3.6,0.86,0.38,23.3,478.38
1800,13.66,3.84,0.96,0.48,26.14,532.86
1850,15.54,4.34,1.06,0.24,28.36,548.7
1900,9.32,3.12,0.48,0.3,18.2,369
1950,14.42,3.86,0.84,0.16,25.3,474.7
2000,13.84,3.6,0.88,0.48,25.6,516.62
2050,12.5,3.46,1.08,0.46,24.500000000000004,513.96
2100,13.06,3.8,0.9,0.42,25.04,509.32
2150,13.38,4.26,0.92,0.28,25.78,511.82
2200,11.82,2.96,0.58,0.28,20.6,407.9
2250,13.3,3.7,0.92,0.24,24.420000000000005,479.4
2300,12.12,4.16,0.76,0.22,23.599999999999998,463.54
2350,11.1,3.22,0.74,0.18,20.479999999999997,410.52
2400,17.98,5.62,1,0.26,33.26,631.32
2450,14.04,3.96,1.14,0.44,27.140000000000004,553.98
2500,11.3,3.1,0.54,0.38,20.64,416.5
2550,14.56,4.54,0.7,0.22,26.62,509.54
2600,12.12,3.8,0.7,0.36,23.26,469.52
2650,13.24,4.06,0.84,0.26,24.919999999999998,491.22
2700,11.1,3.04,1,0.22,21.06,426.82
