Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,18.74
100,0,0,0,0,0,18.54
150,0,0,0,0,0,17.24
200,0.02,0.02,0,0,0.06,20.8
250,0.06,0,0,0,0.06,20
300,0.04,0,0,0,0.04,20.04
350,0.1,0,0,0,0.1,22.92
400,0,0,0,0,0,21.64
450,0.08,0,0,0,0.08,22.62
500,0.06,0,0,0,0.06,23.36
550,0.12,0,0,0,0.12,24.64
600,0.22,0,0,0,0.22,27.42
650,0.22,0,0,0,0.22,28.82
700,0.28,0.02,0,0,0.32,30.98
750,0.18,0,0,0,0.18,28.86
800,0.12,0,0,0,0.12,29.36
850,0.26,0.02,0,0,0.3,31.46
900,0.16,0.04,0,0,0.24,31.72
950,0.24,0,0,0,0.24,33.6
1000,0.42,0.04,0,0,0.5,37.24
1050,0.48,0.02,0,0,0.52,38.1
1100,0.56,0.06,0,0.02,0.76,45.16
1150,0.54,0,0,0,0.54,38.44
1200,0.54,0.06,0,0,0.66,42.42
1250,0.54,0.02,0,0,0.5800000000000001,40.08
1300,0.72,0.06,0.02,0,0.8999999999999999,47.02
1350,0.76,0.1,0,0,0.96,45.94
1400,0.74,0,0.02,0,0.8,44.76
1450,1.38,0.2,0.02,0,1.8399999999999999,62.32
1500,1.72,0.28,0.06,0,2.4600000000000004,75.46
1550,2.76,0.66,0.16,0.06,4.800000000000001,122.34
1600,1.46,0.68,0.24,0.08,3.86,117.5
1650,1.84,0.4,0.08,0,2.88,80.82
1700,2,0.4,0.1,0.06,3.34,96.22
1750,1.98,0.36,0.16,0.02,3.2600000000000002,92.58
1800,1.24,0.36,0.1,0.02,2.34,78.88
1850,1.48,0.32,0.14,0,2.54,83.4
1900,1.14,0.14,0.18,0.1,2.36,91.18
1950,0.86,0.2,0.1,0.04,1.72,71.18
2000,0.76,0.26,0.04,0.08,1.72,69.66
2050,0.54,0.14,0.06,0,1.0,51.16
2100,0.48,0.16,0.02,0.04,1.02,52.22
2150,0.32,0.24,0,0.04,0.9600000000000001,54.3
2200,0.46,0.04,0.02,0,0.6000000000000001,43.5
2250,0.48,0.16,0,0,0.8,44.46
2300,0.44,0.04,0,0,0.52,39.74
2350,0.38,0.1,0,0,0.5800000000000001,44.02
2400,0.32,0.06,0.02,0,0.5,41.16
2450,0.72,0,0.02,0,0.78,45.44
2500,0.74,0.18,0,0,1.1,51.38
2550,0.36,0.1,0,0,0.56,41.8
2600,0.8,0.06,0,0,0.92,46.08
2650,0.9,0.1,0,0,1.1,49.12
2700,2.2,0.38,0.02,0.02,3.1,84.46
2750,2.3,0.32,0.04,0,3.06,83.18
2800,2.72,0.4,0.1,0.02,3.9000000000000004,101.44
