Episode,Single,Double,Triple,Tetris,Total,Score
50,0.02,0,0,0,0.02,18.56
100,0,0,0,0,0,18.3
150,0.04,0,0,0,0.04,18.76
200,0.02,0,0,0,0.02,19.3
250,0.04,0,0,0,0.04,19.24
300,0.1,0,0,0,0.1,21.3
350,0.14,0,0,0,0.14,22.64
400,0.2,0,0,0,0.2,24.58
450,0.12,0,0,0,0.12,23.4
500,0.36,0,0,0,0.36,27.34
550,0.28,0,0,0,0.28,27.04
600,0.62,0,0,0,0.62,32.66
650,0.7,0,0,0,0.7,34.2
700,0.92,0,0,0,0.92,36.72
750,1.16,0,0,0,1.16,40.96
800,1.38,0,0,0,1.38,43.88
850,1.12,0.02,0,0,1.1600000000000001,40.9
900,2.36,0.04,0,0,2.44,58.76
950,2.12,0.04,0,0,2.2,55.76
1000,2.68,0.02,0,0,2.72,63.06
1050,3,0.12,0,0,3.24,72.06
1100,3.5,0.08,0,0,3.66,76.48
1150,4.4,0.14,0,0,4.680000000000001,91.32
1200,6.16,0.12,0,0,6.4,111.64
1250,6.48,0.2,0,0,6.880000000000001,120.94
1300,8.38,0.36,0.06,0,9.280000000000001,155.54
1350,9.38,0.66,0.04,0,10.82,177.4
1400,12.5,1.24,0.12,0.08,15.66,261.76
1450,15.1,1.46,0.32,0.08,19.3,321.06
1500,17.32,2.66,0.6,0.06,24.68,421.36
1550,21.08,3.12,0.58,0.18,29.779999999999998,504.6
1600,21.8,3.88,0.88,0.2,33.0,576.92
1650,24.5,3.54,0.66,0.14,34.12,559.74
1700,20.54,3.26,0.78,0.12,29.88,513.28
1750,16.18,2.98,0.5,0.14,24.2,425.4
1800,17.62,3.5,0.74,0.12,27.32,481.18
1850,19.92,3.52,0.7,0.14,29.62,510.44
1900,18.22,2.92,0.54,0.18,26.4,452.6
